SCRAPING DATE,TOKEN,ADDRESS,BALANCE
07/12/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,No Data Acquired
07/12/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,9063589.032296
07/12/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227204707.28741
07/12/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,21.75
07/12/2021,HBAR,0.0.358271,No Data Acquired
07/12/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.7704789978004157
07/12/2021,HNT,14QLjXRXhsN4FcLCiuuxJDjawf2uasWN65jgEr3m1h3iWcQPsWR,397305.35979091
07/12/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,No Data Acquired
08/12/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,456297701.3
08/12/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,96778388.1
08/12/2021,LUNA,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,2706535.690802
08/12/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,No Data Acquired
08/12/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,301980.6477527447
08/12/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,311639657.0269
08/12/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,1932430.6113
08/12/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,No Data Acquired
08/12/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No Data Acquired
08/12/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No Data Acquired
08/12/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,No Data Acquired
08/12/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,9064748.599912
08/12/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227204707.28741
08/12/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,21.75
08/12/2021,HBAR,0.0.358271,No Data Acquired
08/12/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.7704789978004157
08/12/2021,HNT,14QLjXRXhsN4FcLCiuuxJDjawf2uasWN65jgEr3m1h3iWcQPsWR,397430.21578981
08/12/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,No Data Acquired
09/12/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,456297701.3
09/12/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,96975485.89
09/12/2021,LUNA,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,2706956.019846
09/12/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,No Data Acquired
09/12/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,302104.9332762872
09/12/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,311639657.0269
09/12/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,1932430.6113
09/12/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,No Data Acquired
